base_topology,circuit_family,logical_qubits,optimization_level,seeds,base_median,relabelled_median,base_min,base_max,relabelled_min,relabelled_max,absolute_shift,relative_shift,label_invariant,seed_ranges_overlap,systematic
line_27,qft,4,1,5,1.9,1.9,1.9,1.9,1.9,1.9,0.0,1.0,True,True,False
line_27,qft,8,1,5,2.423076923076923,2.576923076923077,2.423076923076923,2.6923076923076925,2.423076923076923,2.6923076923076925,0.1538461538461542,1.0634920634920637,False,True,False
line_27,qft,12,1,5,2.738095238095238,2.8095238095238093,2.595238095238096,2.833333333333333,2.738095238095238,2.9285714285714284,0.07142857142857117,1.026086956521739,False,True,False
line_27,qft,16,1,5,2.862068965517241,2.9482758620689653,2.827586206896552,2.9827586206896552,2.7758620689655173,3.0172413793103448,0.0862068965517242,1.0301204819277108,False,True,False
line_27,qft,20,1,5,2.9054054054054053,2.95945945945946,2.8513513513513518,3.0675675675675675,2.8783783783783785,3.175675675675676,0.054054054054054834,1.0186046511627909,False,True,False
line_27,qft,24,1,5,2.966666666666667,2.922222222222222,2.811111111111111,3.088888888888889,2.8777777777777778,3.111111111111111,0.04444444444444473,0.9850187265917602,False,True,False
line_27,efficient_su2,4,3,5,1.75,1.75,1.75,2.0,1.75,2.125,0.0,1.0,True,True,False
line_27,efficient_su2,8,3,5,2.875,2.875,2.875,2.875,2.875,2.875,0.0,1.0,True,True,False
line_27,efficient_su2,12,3,5,3.25,3.25,3.25,3.25,3.25,3.25,0.0,1.0,True,True,False
line_27,efficient_su2,16,3,5,3.4375,3.4375,3.4375,3.4375,3.4375,3.4375,0.0,1.0,True,True,False
line_27,efficient_su2,20,3,5,3.55,3.65,3.55,3.55,3.65,3.65,0.10000000000000009,1.028169014084507,False,False,True
line_27,efficient_su2,24,3,5,3.7083333333333335,3.7083333333333335,3.6458333333333335,3.7291666666666665,3.7083333333333335,3.7083333333333335,0.0,1.0,True,True,False
line_27,ghz_chain,4,3,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
line_27,ghz_chain,8,3,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
line_27,ghz_chain,12,3,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
line_27,ghz_chain,16,3,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
line_27,ghz_chain,20,3,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
line_27,ghz_chain,24,3,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,False
line_27,ghz_star,4,3,5,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,1.3333333333333333,1.6666666666666667,0.0,1.0,True,True,False
line_27,ghz_star,8,3,5,1.7142857142857142,2.857142857142857,1.7142857142857142,2.2857142857142856,2.7142857142857144,2.857142857142857,1.142857142857143,1.6666666666666667,False,False,True
line_27,ghz_star,12,3,5,1.818181818181818,3.1818181818181817,1.818181818181818,2.1818181818181817,3.090909090909091,3.272727272727273,1.3636363636363638,1.7500000000000002,False,False,True
