circuit_family,logical_qubits,topology,optimization_level,n_seeds,min,max,median,spread,relative_spread,iqr,normalized_spread,zero_spread,stratum
efficient_su2,8,cairo_heavy_hex_27,3,5,2.5,2.5,2.5,0.0,1.0,0.0,0.0,True,L3
efficient_su2,12,cairo_heavy_hex_27,3,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L3
efficient_su2,16,cairo_heavy_hex_27,3,5,1.84375,2.75,2.5,0.90625,1.4915254237288136,0.78125,0.3625,False,L3
efficient_su2,20,cairo_heavy_hex_27,3,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L3
efficient_su2,24,cairo_heavy_hex_27,3,5,2.145833333333333,2.6875,2.375,0.541666666666667,1.2524271844660195,0.5,0.22807017543859662,False,L3
ghz_chain,4,cairo_heavy_hex_27,3,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L3
ghz_chain,8,cairo_heavy_hex_27,3,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L3
ghz_chain,12,cairo_heavy_hex_27,3,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L3
ghz_chain,16,cairo_heavy_hex_27,3,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L3
ghz_chain,20,cairo_heavy_hex_27,3,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L3
ghz_chain,24,cairo_heavy_hex_27,3,5,2.217391304347826,2.3043478260869565,2.3043478260869565,0.08695652173913038,1.0392156862745099,0.0,0.03773584905660375,False,L3
ghz_star,4,cairo_heavy_hex_27,3,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L3
ghz_star,8,cairo_heavy_hex_27,3,5,2.0,2.7142857142857144,2.142857142857143,0.7142857142857144,1.3571428571428572,0.1428571428571428,0.3333333333333334,False,L3
ghz_star,12,cairo_heavy_hex_27,3,5,2.1818181818181817,3.0,2.8181818181818183,0.8181818181818183,1.375,0.1818181818181821,0.2903225806451613,False,L3
ghz_star,16,cairo_heavy_hex_27,3,5,2.933333333333333,3.1333333333333333,3.0,0.20000000000000018,1.0681818181818183,0.06666666666666687,0.06666666666666672,False,L3
ghz_star,20,cairo_heavy_hex_27,3,5,2.789473684210526,3.473684210526316,3.3684210526315788,0.6842105263157898,1.2452830188679247,0.5263157894736836,0.2031250000000001,False,L3
ghz_star,24,cairo_heavy_hex_27,3,5,3.260869565217391,3.4782608695652173,3.347826086956522,0.21739130434782616,1.0666666666666667,0.1304347826086958,0.06493506493506496,False,L3
qft,4,cairo_heavy_hex_27,3,5,1.8,1.8,1.8,0.0,1.0,0.0,0.0,True,L3
qft,8,cairo_heavy_hex_27,3,5,1.9615384615384608,2.269230769230769,2.230769230769231,0.3076923076923084,1.1568627450980395,0.038461538461538325,0.13793103448275892,False,L3
